"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"На странице поочередно прокликиваем вопросы, сравниваем текст вопроса, сравниваем текст ответа","1622","Проверка открытия вопросов и ответов из раздела Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFaqQuestions","test_main_page","",""
"Проверяем весь путь от клика на кнопку заказать до появления окна об успешном заказе.При этом проверяем обе точки входа через разные кнопки ""Заказать"", с разными наборами данных","3683","Проверка сценария заказа самоката","tests","2026-04-19","passed","2026-04-19","TestSamokatOrder","test_order_page","",""
"На странице поочередно прокликиваем вопросы, сравниваем текст вопроса, сравниваем текст ответа","1857","Проверка открытия вопросов и ответов из раздела Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFaqQuestions","test_main_page","",""
"На странице поочередно прокликиваем вопросы, сравниваем текст вопроса, сравниваем текст ответа","1699","Проверка открытия вопросов и ответов из раздела Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFaqQuestions","test_main_page","",""
"На странице поочередно прокликиваем вопросы, сравниваем текст вопроса, сравниваем текст ответа","1581","Проверка открытия вопросов и ответов из раздела Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFaqQuestions","test_main_page","",""
"На странице поочередно прокликиваем вопросы, сравниваем текст вопроса, сравниваем текст ответа","1597","Проверка открытия вопросов и ответов из раздела Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFaqQuestions","test_main_page","",""
"Проверяем открытие страницы Дзена при нажатии на логотип Яндекса и открытие главной страницы Самоката при нажатии на логотип Самоката","2874","Проверка открытия новых страниц при нажатии на логотипы в хэдере страниц","tests","2026-04-19","passed","2026-04-19","TestHeaderLogoLinks","test_order_page","",""
"На странице поочередно прокликиваем вопросы, сравниваем текст вопроса, сравниваем текст ответа","1575","Проверка открытия вопросов и ответов из раздела Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFaqQuestions","test_main_page","",""
"На странице поочередно прокликиваем вопросы, сравниваем текст вопроса, сравниваем текст ответа","1690","Проверка открытия вопросов и ответов из раздела Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFaqQuestions","test_main_page","",""
"Проверяем весь путь от клика на кнопку заказать до появления окна об успешном заказе.При этом проверяем обе точки входа через разные кнопки ""Заказать"", с разными наборами данных","3762","Проверка сценария заказа самоката","tests","2026-04-19","passed","2026-04-19","TestSamokatOrder","test_order_page","",""
"На странице поочередно прокликиваем вопросы, сравниваем текст вопроса, сравниваем текст ответа","2626","Проверка открытия вопросов и ответов из раздела Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFaqQuestions","test_main_page","",""
"Проверяем весь путь от клика на кнопку заказать до появления окна об успешном заказе.При этом проверяем обе точки входа через разные кнопки ""Заказать"", с разными наборами данных","3802","Проверка сценария заказа самоката","tests","2026-04-19","passed","2026-04-19","TestSamokatOrder","test_order_page","",""
